start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Graham Ave & Grand St,Broadway & Hancock St,casual,2022-01-01,11.6,1,1,Saturday,winter
Hart St & Wyckoff Ave,Suydam St & Knickerbocker Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 138 St & Willow Ave,2 Ave & E 122 St,member,2022-01-01,11.6,1,1,Saturday,winter
7 Ave & 20 St,West Drive & Prospect Park West,casual,2022-01-01,11.6,1,1,Saturday,winter
Broadway & E 14 St,E 4 St & Ave B,member,2022-01-01,11.6,1,1,Saturday,winter
E 11 St & 1 Ave,Christopher St & Greenwich St,member,2022-01-01,11.6,1,1,Saturday,winter
17 St & 5 Ave,Ft. Hamilton Pkwy & E 2 St,member,2022-01-01,11.6,1,1,Saturday,winter
Greenwich Ave & Charles St,Allen St & Rivington St,member,2022-01-01,11.6,1,1,Saturday,winter
W 21 St & 6 Ave,E 25 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 103 St & Lexington Ave,5 Ave & W 126 St,member,2022-01-01,11.6,1,1,Saturday,winter
Cleveland Pl & Spring St,Cleveland Pl & Spring St,member,2022-01-01,11.6,1,1,Saturday,winter
E 45 St & 3 Ave,6 Ave & W 34 St,casual,2022-01-01,11.6,1,1,Saturday,winter
India St Pier,India St & Manhattan Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Grand St & Havemeyer St,India St & Manhattan Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Smith St & 3 St,Boerum Pl\t& Pacific St,member,2022-01-01,11.6,1,1,Saturday,winter
E 13 St & Avenue A,E 110 St & Madison Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Division Ave & Hooper St,DeKalb Ave & S Portland Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Grand St & Samuel Dickstein Plaza,6 Ave & W 34 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Allen St & Hester St,6 Ave & W 34 St,member,2022-01-01,11.6,1,1,Saturday,winter
Water St & Main St,6 Ave & W 34 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 82 St & East End Ave,W 181 St & Riverside Dr,casual,2022-01-01,11.6,1,1,Saturday,winter
Crescent St & 30 Ave,E 33 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
3 Ave & E 72 St,E 59 St & Madison Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Sterling Pl & 5 Ave,Atlantic Ave & Furman St,member,2022-01-01,11.6,1,1,Saturday,winter
Amsterdam Ave & W 73 St,Riverside Dr & W 91 St,member,2022-01-01,11.6,1,1,Saturday,winter
South St & Whitehall St,Clinton St & Cherry St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 47 St & 2 Ave,E 56 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
1 Ave & E 16 St,Mott St & Prince St,member,2022-01-01,11.6,1,1,Saturday,winter
