start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Maiden Ln & Pearl St,Broadway & W 53 St,member,2022-01-02,11.4,1,1,Sunday,winter
Carroll St & Smith St,Eastern Pkwy & Franklin Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Bedford Ave & Bergen St,Eastern Pkwy & Franklin Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Wyckoff Av & Jefferson St,Stewart Ave & Johnson Ave,member,2022-01-02,11.4,1,1,Sunday,winter
36 St & 4 Ave,4 Ave & 17 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 16 St & 5 Ave,Washington St & Barrow St,member,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & Avenue C,1 Ave & E 6 St,member,2022-01-02,11.4,1,1,Sunday,winter
8 Ave & W 33 St,6 Ave & W 45 St,member,2022-01-02,11.4,1,1,Sunday,winter
Bradhurst Ave & W 148 St,Adam Clayton Powell Blvd & W 115 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 30 St & Park Ave S,6 Ave & Broome St,casual,2022-01-02,11.4,1,1,Sunday,winter
Union Ave & Wallabout St,Broadway & Madison St,casual,2022-01-02,11.4,1,1,Sunday,winter
Grand St & Elizabeth St,6 Ave & Broome St,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 73 St,W 87 St & Amsterdam Ave,member,2022-01-02,11.4,1,1,Sunday,winter
50 St & Northern Blvd,31 St & Ditmars Blvd,member,2022-01-02,11.4,1,1,Sunday,winter
Greenwich Ave & 8 Ave,11 Ave & W 41 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 76 St & Park Ave,Lexington Ave & E 24 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 19 St & 3 Ave,Lexington Ave & E 24 St,member,2022-01-02,11.4,1,1,Sunday,winter
Chester Ave & 12 Ave,44 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Coffey St & Ferris St,Smith St & 3 St,member,2022-01-02,11.4,1,1,Sunday,winter
7 St & 5 Ave,Smith St & 3 St,member,2022-01-02,11.4,1,1,Sunday,winter
Old Slip & South St,Powers St & Olive St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 44 St,E 85 St & 3 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Eastern Pkwy & Franklin Ave,Dean St & Franklin Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Prospect Pl & Underhill Ave,Park Cir & East Dr,casual,2022-01-02,11.4,1,1,Sunday,winter
E 7 St & Avenue A,Cleveland Pl & Spring St,member,2022-01-02,11.4,1,1,Sunday,winter
E 7 St & Ave B,Bleecker St & Crosby St,casual,2022-01-02,11.4,1,1,Sunday,winter
Centre St & Chambers St,Centre St & Chambers St,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 82 St,Amsterdam Ave & W 82 St,member,2022-01-02,11.4,1,1,Sunday,winter
Bleecker St & Crosby St,Bleecker St & Crosby St,member,2022-01-02,11.4,1,1,Sunday,winter
Catherine St & Monroe St,Market St & Henry St,member,2022-01-02,11.4,1,1,Sunday,winter
5 Ave & W 131 St,Adam Clayton Powell Blvd & W 115 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 91 St & 2 Ave,E 85 St & York Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Greenpoint Ave & Manhattan Ave,Driggs Ave & N 9 St,casual,2022-01-02,11.4,1,1,Sunday,winter
8 Ave & W 49 St,11 Ave & W 27 St,member,2022-01-02,11.4,1,1,Sunday,winter
25 Ave & 41 St,25 Ave & 41 St,member,2022-01-02,11.4,1,1,Sunday,winter
Lafayette St & Jersey St,Washington Ave & Park Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Riverside Dr & W 91 St,E 4 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Franklin St & W Broadway,Franklin St & W Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 153 St,Broadway & W 153 St,member,2022-01-02,11.4,1,1,Sunday,winter
45 Rd & 11 St,McGuinness Blvd & Eagle St,member,2022-01-02,11.4,1,1,Sunday,winter
Mercer St & Bleecker St,Grand St & Samuel Dickstein Plaza,member,2022-01-02,11.4,1,1,Sunday,winter
Wadsworth Ave & W 175 St,Amsterdam Ave & W 175 St,member,2022-01-02,11.4,1,1,Sunday,winter
Wadsworth Ave & W 175 St,Amsterdam Ave & W 175 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 75 St & 3 Ave,5 Ave & E 72 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 82 St & Central Park West,E 58 St & 3 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Allen St & Hester St,W 15 St & 10 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Greenwich St & Hubert St,Bayard St & Baxter St,member,2022-01-02,11.4,1,1,Sunday,winter
2 Ave & E 96 St,2 Ave & E 104 St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 44 St,E 106 St & 1 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Stagg St & Union Ave,Bedford Ave & Nassau Ave,member,2022-01-02,11.4,1,1,Sunday,winter
30 Ave & 41 St,31 St & Newtown Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Central Park W & W 103 St,West End Ave & W 107 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 93 St & 2 Ave,1 Ave & E 110 St,member,2022-01-02,11.4,1,1,Sunday,winter
Greenwich Ave & 8 Ave,W 24 St & 7 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 73 St,W 87 St & West End Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
E 53 St & Madison Ave,W 55 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 7 St & Avenue A,Henry St & Grand St,member,2022-01-02,11.4,1,1,Sunday,winter
Berkeley Pl & 7 Ave,7 Ave & Park Pl,member,2022-01-02,11.4,1,1,Sunday,winter
Spruce St & Nassau St,Pike St & E Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
Market St & Cherry St,Pike St & E Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
Bleecker St & Crosby St,Bleecker St & Crosby St,casual,2022-01-02,11.4,1,1,Sunday,winter
W 29 St & 9 Ave,W 20 St & 8 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Centre St & Chambers St,Cadman Plaza E & Tillary St,casual,2022-01-02,11.4,1,1,Sunday,winter
59 St & 5 Ave,6 Ave & 9 St,member,2022-01-02,11.4,1,1,Sunday,winter
Johnson St & Gold St,Duffield St & Willoughby St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 68 St,2 Ave & E 125 St,member,2022-01-02,11.4,1,1,Sunday,winter
Front St & Jay St,Monroe St & Classon Ave,member,2022-01-02,11.4,1,1,Sunday,winter
W 42 St & 6 Ave,E 66 St & Madison Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Centre St & Chambers St,Hicks St & Montague St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 16 St,5 Ave & E 72 St,member,2022-01-02,11.4,1,1,Sunday,winter
Leonard St & Church St,Atlantic Ave & Furman St,member,2022-01-02,11.4,1,1,Sunday,winter
Eastern Pkwy & Franklin Ave,5 Ave & 3 St,member,2022-01-02,11.4,1,1,Sunday,winter
9 Ave & W 18 St,Lafayette St & E 8 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 42 St & 6 Ave,6 Ave & W 45 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 51 St & 6 Ave,Central Park North & Adam Clayton Powell Blvd,member,2022-01-02,11.4,1,1,Sunday,winter
E 4 St & 2 Ave,E 2 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
31 Ave & Crescent St,30 Ave & 21 St,casual,2022-01-02,11.4,1,1,Sunday,winter
St Johns Pl & Washington Ave,Sullivan Pl & Franklin Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
E 88 St & 1 Ave,E 141 St & St Ann's Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
34 Ave & 31 St,Vernon Blvd & 31 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Stanton St & Norfolk St,Division St & Bowery,member,2022-01-02,11.4,1,1,Sunday,winter
E 16 St & 5 Ave,Mercer St & Bleecker St,casual,2022-01-02,11.4,1,1,Sunday,winter
Berry St & N 8 St,Grand St & Havemeyer St,member,2022-01-02,11.4,1,1,Sunday,winter
46 Ave & 5 St,46 Ave & 5 St,member,2022-01-02,11.4,1,1,Sunday,winter
Grove St & Broadway,Central Ave & Flushing Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
S 3 St & Bedford Ave,N 6 St & Bedford Ave,member,2022-01-02,11.4,1,1,Sunday,winter
4 Ave & Shore Road Dr,14 St & 5 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
5 Ave & E 87 St,E 65 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
W 43 St & 10 Ave,Amsterdam Ave & W 66 St,member,2022-01-02,11.4,1,1,Sunday,winter
Spruce St & Nassau St,Allen St & Stanton St,member,2022-01-02,11.4,1,1,Sunday,winter
Cliff St & Fulton St,Park Pl & Church St,member,2022-01-02,11.4,1,1,Sunday,winter
5 Ave & E 78 St,1 Ave & E 78 St,member,2022-01-02,11.4,1,1,Sunday,winter
St Marks Pl & 2 Ave,Lexington Ave & E 111 St,member,2022-01-02,11.4,1,1,Sunday,winter
Milton St & Franklin St,Broadway & Whipple St,member,2022-01-02,11.4,1,1,Sunday,winter
E 20 St & Park Ave,Lexington Ave & E 36 St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 68 St,E 56 St & 3 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 68 St,E 47 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Schermerhorn St & Court St,Grand St & Havemeyer St,member,2022-01-02,11.4,1,1,Sunday,winter
West Thames St,Centre St & Chambers St,member,2022-01-02,11.4,1,1,Sunday,winter
North Moore St & Greenwich St,Bleecker St & Crosby St,member,2022-01-02,11.4,1,1,Sunday,winter
North Moore St & Greenwich St,Centre St & Chambers St,casual,2022-01-02,11.4,1,1,Sunday,winter
Spring St & Hudson St,Spring St & Hudson St,casual,2022-01-02,11.4,1,1,Sunday,winter
W 20 St & 7 Ave,Lexington Ave & E 24 St,member,2022-01-02,11.4,1,1,Sunday,winter
Myrtle Ave & Linden St,Knickerbocker Ave & Halsey St,member,2022-01-02,11.4,1,1,Sunday,winter
9 Ave & W 45 St,West End Ave & W 60 St,member,2022-01-02,11.4,1,1,Sunday,winter
Brook Ave & E 138 St,E 147 St & Bergen Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Knickerbocker Ave & Thames St,Irving Ave & DeKalb Ave,member,2022-01-02,11.4,1,1,Sunday,winter
W 49 St & 8 Ave,Rivington St & Ridge St,member,2022-01-02,11.4,1,1,Sunday,winter
Vernon Blvd & 50 Ave,1 Ave & E 78 St,member,2022-01-02,11.4,1,1,Sunday,winter
Queens Plaza North & Crescent St,Nassau Ave & Russell St,member,2022-01-02,11.4,1,1,Sunday,winter
12 Ave & W 125 St,12 Ave & W 40 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 168th S & Fort Washington Ave,W 181 St & Riverside Dr,member,2022-01-02,11.4,1,1,Sunday,winter
Boerum Pl\t& Pacific St,Bergen St & 4 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Central Park S & 6 Ave,Central Park W & W 91 St,casual,2022-01-02,11.4,1,1,Sunday,winter
Kosciuszko St & Tompkins Ave,Marcus Garvey Blvd & Macon St,member,2022-01-02,11.4,1,1,Sunday,winter
Norfolk St & Broome St,Henry St & Grand St,member,2022-01-02,11.4,1,1,Sunday,winter
Parade Pl & Crooke Ave,Beaver St & Fayette St,member,2022-01-02,11.4,1,1,Sunday,winter
St Marks Pl & 2 Ave,Stanton St & Chrystie St,member,2022-01-02,11.4,1,1,Sunday,winter
W 43 St & 10 Ave,W 20 St & 8 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Grand St & Elizabeth St,Allen St & Hester St,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & E 14 St,E 23 St & 1 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Boerum Pl\t& Pacific St,Dean St & Hoyt St,member,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & Avenue B,E 7 St & Ave B,member,2022-01-02,11.4,1,1,Sunday,winter
35 Ave & 10 St,34th Ave & Vernon Blvd,member,2022-01-02,11.4,1,1,Sunday,winter
45 Ave & 21 St,46 Ave & 5 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 118 St & 3 Ave,St Nicholas Ave & W 137 St,casual,2022-01-02,11.4,1,1,Sunday,winter
N 15 St & Wythe Ave,Huron St & Franklin St,member,2022-01-02,11.4,1,1,Sunday,winter
W 42 St & 6 Ave,W 46 St & 11 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
W 21 St & 6 Ave,W 15 St & 10 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
West End Ave & W 78 St,Amsterdam Ave & W 186 St,member,2022-01-02,11.4,1,1,Sunday,winter
Clermont Ave & Park Ave,Carlton Ave & Flushing Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Perry St & Greenwich Ave,King St & Varick St,member,2022-01-02,11.4,1,1,Sunday,winter
Clinton St & Union St,4 Ave & 9 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & 2 Ave,E 2 St & 2 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
E 11 St & Avenue B,Lexington Ave & E 36 St,casual,2022-01-02,11.4,1,1,Sunday,winter
Parade Pl & Crooke Ave,Park Cir & East Dr,member,2022-01-02,11.4,1,1,Sunday,winter
Butler St & Court St,Sterling Pl & 5 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
W 24 St & 7 Ave,E 55 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 85 St & 3 Ave,E 55 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
36 St & Ditmars Blvd,35 St & 30 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Lafayette St & Jersey St,Wythe Ave & Metropolitan Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & Avenue B,Wythe Ave & Metropolitan Ave,member,2022-01-02,11.4,1,1,Sunday,winter
3 Ave & Schermerhorn St,Clinton Ave & Myrtle Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & Berry St,S 5 Pl & S 5 St,member,2022-01-02,11.4,1,1,Sunday,winter
State St & Smith St,Clinton Ave & Myrtle Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Kosciuszko St & Tompkins Ave,S 5 Pl & S 5 St,casual,2022-01-02,11.4,1,1,Sunday,winter
E 33 St & 5 Ave,E 41 St & Madison Ave (SE corner),member,2022-01-02,11.4,1,1,Sunday,winter
E 33 St & 5 Ave,W 15 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
3 Ave & Schermerhorn St,Stanton St & Norfolk St,member,2022-01-02,11.4,1,1,Sunday,winter
Grand St & Elizabeth St,Washington Square E,member,2022-01-02,11.4,1,1,Sunday,winter
W 50 St & 9 Ave,Amsterdam Ave & W 131 St,member,2022-01-02,11.4,1,1,Sunday,winter
Madison Ave & E 99 St,W 84 St & Columbus Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
9 Ave & W 45 St,W 55 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 58 St,W 84 St & Columbus Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 56 St,University Pl & E 8 St,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 53 St,W 34 St & 11 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Prospect Park SW & 10 Ave,Clinton St & 4 Place,casual,2022-01-02,11.4,1,1,Sunday,winter
E 33 St & 5 Ave,E 48 St & 5 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
W 90 St & Amsterdam Ave,Park Ave & E 124 St,member,2022-01-02,11.4,1,1,Sunday,winter
West End Ave & W 107 St,Broadway & W 56 St,member,2022-01-02,11.4,1,1,Sunday,winter
Warren St & W Broadway,Franklin St & W Broadway,casual,2022-01-02,11.4,1,1,Sunday,winter
Prospect Pl & 6 Ave,Smith St & 3 St,member,2022-01-02,11.4,1,1,Sunday,winter
Fulton St & William St,Market St & Cherry St,member,2022-01-02,11.4,1,1,Sunday,winter
Morningside Ave & W 123 St,Morningside Dr & Amsterdam Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Morningside Ave & W 123 St,Morningside Dr & Amsterdam Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 79 St,Amsterdam Ave & W 82 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 31 St & 7 Ave,E 33 St & 1 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Nelson Ave & W 172 St,Walton Ave & E 171 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 19 St & 3 Ave,Cleveland Pl & Spring St,member,2022-01-02,11.4,1,1,Sunday,winter
Prospect Park W & 20 St,Clinton St & Tillary St,member,2022-01-02,11.4,1,1,Sunday,winter
Clinton St & Union St,Kent Ave & S 11 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 20 St & Park Ave,Nassau St\t& Duffield St,member,2022-01-02,11.4,1,1,Sunday,winter
Columbus Ave & W 72 St,W 92 St & Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
31 Ave & 34 St,31 St & Ditmars Blvd,casual,2022-01-02,11.4,1,1,Sunday,winter
9 Ave & W 22 St,Howard St & Lafayette St,member,2022-01-02,11.4,1,1,Sunday,winter
5 Ave & E 78 St,5 Ave & E 87 St,casual,2022-01-02,11.4,1,1,Sunday,winter
Grand Army Plaza & Central Park S,5 Ave & E 87 St,casual,2022-01-02,11.4,1,1,Sunday,winter
Lafayette St & Jersey St,MacDougal St & Washington Sq,member,2022-01-02,11.4,1,1,Sunday,winter
Crescent St & Broadway,Jackson Ave & 46 Rd,casual,2022-01-02,11.4,1,1,Sunday,winter
7 Ave & Central Park South,W 89 St & Columbus Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & Avenue C,Norfolk St & Broome St,member,2022-01-02,11.4,1,1,Sunday,winter
55 St & 7 Ave,59 St & 4 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 53 St & Lexington Ave,E 75 St & 3 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Wythe Ave & Metropolitan Ave,Fulton St & Irving Pl,member,2022-01-02,11.4,1,1,Sunday,winter
Kingsland Ave & Nassau Ave,Devoe St & Lorimer St,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 79 St,Cathedral Pkwy & Broadway,casual,2022-01-02,11.4,1,1,Sunday,winter
Suffolk St & Stanton St,Clinton St & Cherry St,member,2022-01-02,11.4,1,1,Sunday,winter
Duffield St & Willoughby St,Johnson St & Gold St,member,2022-01-02,11.4,1,1,Sunday,winter
E 27 St & 1 Ave,E 33 St & 1 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Grand Army Plaza & Central Park S,Greenwich St & W Houston St,casual,2022-01-02,11.4,1,1,Sunday,winter
Vesey St & Church St,Franklin St & W Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
W 17 St & 8 Ave,W 26 St & 8 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 4 St & 2 Ave,E 4 St & 2 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 55 St & 2 Ave,W 64 St & Thelonious Monk Circle,casual,2022-01-02,11.4,1,1,Sunday,winter
W 21 St & 6 Ave,W 20 St & 8 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
3 Ave & Carroll St,Clinton St & Centre St,member,2022-01-02,11.4,1,1,Sunday,winter
E 16 St & 5 Ave,Amsterdam Ave & W 82 St,member,2022-01-02,11.4,1,1,Sunday,winter
Mott St & Prince St,Allen St & Stanton St,casual,2022-01-02,11.4,1,1,Sunday,winter
W 100 St & Broadway,W 92 St & Broadway,casual,2022-01-02,11.4,1,1,Sunday,winter
3 Ave & E 71 St,E 85 St & York Ave,member,2022-01-02,11.4,1,1,Sunday,winter
3 Ave & E 71 St,E 66 St & Madison Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Park Ave & E 124 St,W 87 St & Amsterdam Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & Avenue C,E 23 St & 1 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Prospect Pl & Underhill Ave,Clinton Ave & Myrtle Ave,member,2022-01-02,11.4,1,1,Sunday,winter
St James Pl & Oliver St,Howard St & Lafayette St,member,2022-01-02,11.4,1,1,Sunday,winter
28 Ave & 35 St,28 Ave & 35 St,member,2022-01-02,11.4,1,1,Sunday,winter
Cleveland Pl & Spring St,Mercer St & Spring St,member,2022-01-02,11.4,1,1,Sunday,winter
Willoughby Ave & Hall St,E 40 St & Park Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
7 Ave & Central Park South,Central Park North & Adam Clayton Powell Blvd,member,2022-01-02,11.4,1,1,Sunday,winter
Murray St & Greenwich St,Lexington Ave & E 24 St,casual,2022-01-02,11.4,1,1,Sunday,winter
W 34 St & 11 Ave,West End Ave & W 60 St,member,2022-01-02,11.4,1,1,Sunday,winter
Rockaway Ave & Bainbridge St,Moffat St & Bushwick,member,2022-01-02,11.4,1,1,Sunday,winter
Canal St & Rutgers St,Market St & Henry St,member,2022-01-02,11.4,1,1,Sunday,winter
St Marks Pl & 2 Ave,Market St & Henry St,member,2022-01-02,11.4,1,1,Sunday,winter
Bialystoker Pl & Delancey St,1 Ave & E 6 St,member,2022-01-02,11.4,1,1,Sunday,winter
Lafayette St & Jersey St,Christopher St & Greenwich St,member,2022-01-02,11.4,1,1,Sunday,winter
George St & Wilson Ave,Lewis Ave & Madison St,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 53 St,2 Ave & E 55 St,member,2022-01-02,11.4,1,1,Sunday,winter
Hudson St & W 13 St,8 Ave & W 38 St,casual,2022-01-02,11.4,1,1,Sunday,winter
28 St & 36 Ave,Center Blvd & 51 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 132 St & Madison Ave,Clay Ave & E 173 St,member,2022-01-02,11.4,1,1,Sunday,winter
45 Ave & 21 St,Vernon Blvd & 47 Rd,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 73 St,E 11 St & Avenue B,casual,2022-01-02,11.4,1,1,Sunday,winter
St Marks Pl & 2 Ave,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
W 31 St & 7 Ave,W 24 St & 7 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Broadway & Moylan Pl,West End Ave & W 107 St,member,2022-01-02,11.4,1,1,Sunday,winter
8 Ave & W 31 St,W 24 St & 7 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 76 St & Park Ave,West End Ave & W 107 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 11 St & 6 Ave,W 24 St & 7 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 48 St & 5 Ave,West End Ave & W 107 St,member,2022-01-02,11.4,1,1,Sunday,winter
W 155 St & Frederick Douglass Blvd,Frederick Douglass Blvd & W 145 St,member,2022-01-02,11.4,1,1,Sunday,winter
E 1 St & 1 Ave,E 11 St & Avenue B,casual,2022-01-02,11.4,1,1,Sunday,winter
E 2 St & 2 Ave,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
Riverside Dr & W 153 St,E 170 St & Clay Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Norfolk St & Broome St,E 11 St & Avenue B,casual,2022-01-02,11.4,1,1,Sunday,winter
Brooklyn Bridge Park - Pier 2,Butler St & Court St,member,2022-01-02,11.4,1,1,Sunday,winter
W 116 St & Broadway,W 24 St & 7 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
W 92 St & Broadway,West End Ave & W 107 St,member,2022-01-02,11.4,1,1,Sunday,winter
Walton Ave & E 168 St,Grand Concourse & E 156 St,casual,2022-01-02,11.4,1,1,Sunday,winter
Mercer St & Spring St,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
48 Ave & 5 St,Crescent St & Broadway,member,2022-01-02,11.4,1,1,Sunday,winter
W 54 St & 11 Ave,W 24 St & 7 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 4 St & Ave B,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
E 98 St & Park Ave,Madison Ave & E 99 St,casual,2022-01-02,11.4,1,1,Sunday,winter
E 15 St & 3 Ave,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
E 15 St & 3 Ave,E 11 St & Avenue B,member,2022-01-02,11.4,1,1,Sunday,winter
11 Ave & W 41 St,Washington St & Barrow St,casual,2022-01-02,11.4,1,1,Sunday,winter
Clark St & Henry St,Union St & 4 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
West Drive & Prospect Park West,Stewart Ave & Johnson Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Lafayette St & E 8 St,Washington St & Barrow St,member,2022-01-02,11.4,1,1,Sunday,winter
Columbia St & Degraw St,Dean St & Hoyt St,member,2022-01-02,11.4,1,1,Sunday,winter
Old Fulton St,Grand St & Havemeyer St,casual,2022-01-02,11.4,1,1,Sunday,winter
Bedford Ave & Montgomery St,Grand St & Havemeyer St,casual,2022-01-02,11.4,1,1,Sunday,winter
E 58 St & 1 Ave (NE Corner),E 47 St & 2 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
W 34 St & 11 Ave,Henry St & Grand St,member,2022-01-02,11.4,1,1,Sunday,winter
1 Pl & Clinton St,Union St & Nevins St,member,2022-01-02,11.4,1,1,Sunday,winter
W 87 St & West End Ave,W 87 St & West End Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Nevins St & Schermerhorn St,Union St & Nevins St,member,2022-01-02,11.4,1,1,Sunday,winter
Cumberland St & Lafayette Ave,7 Ave & Park Pl,member,2022-01-02,11.4,1,1,Sunday,winter
Lenox Ave & W 111 St,W 55 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
E 53 St & Madison Ave,E 51 St & 2 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Madison Ave & E 99 St,W 84 St & Columbus Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Stanton St & Norfolk St,E 85 St & 3 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Bushwick Ave & Dekalb Ave,Stockholm St & Wilson Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Amsterdam Ave & W 79 St,W 55 St & 6 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
1 Ave & E 68 St,E 85 St & 3 Ave,member,2022-01-02,11.4,1,1,Sunday,winter
Warren St & Smith St,7 Ave & Park Pl,casual,2022-01-02,11.4,1,1,Sunday,winter
E 25 St & 1 Ave,Pike St & Monroe St,member,2022-01-02,11.4,1,1,Sunday,winter
Suffolk St & Stanton St,Pike St & Monroe St,member,2022-01-02,11.4,1,1,Sunday,winter
E 58 St & 3 Ave,W 87 St & West End Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 25 St,W 55 St & 6 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Broadway & W 25 St,W 55 St & 6 Ave,casual,2022-01-02,11.4,1,1,Sunday,winter
Throop Ave & Myrtle Ave,Henry St & Grand St,member,2022-01-02,11.4,1,1,Sunday,winter
